,Q,A,unit
104,What are Q-Learning Extensions?,There are several extensions to Q-learning including multi-agent Q-learning hierarchical Q-learning and transfer learning.,1
105,How does Q-Learning compare to other algorithms?,Q-learning is compared to other reinforcement learning algorithms such as SARSA and policy gradient methods.,1
106,What are some real-world applications of Q-Learning?,Q-learning has been used in several real-world applications including autonomous vehicles recommendation systems and resource allocation.,1
107,How is Q-Learning used in Robotics?,Q-learning has been used in robotics to learn control policies for robots.,1
108,How is Q-Learning used in Game Playing?,Q-learning has been used in game playing to learn optimal policies for games such as Go and Poker.,1
109,How is Q-Learning used in Finance?,Q-learning has been used in finance to learn optimal trading policies.,1
110,How is Q-Learning used in Healthcare?,Q-learning has been used in healthcare to learn optimal treatment policies.,1
111,How is Q-Learning used in Energy Management?,Q-learning has been used in energy management to learn optimal energy consumption policies.,1
112,What are Decision Trees?,Decision Trees are a type of predictive learning algorithm used for both classification and regression.,1
113,What are the characteristics of Decision Trees?,They are non-parametric fast and efficient.,1
114,What do Decision Trees consist of?,Decision Trees consist of nodes with parent-child relationships.,1
115,What does the root node represent in a Decision Tree?,The root node represents the entire population or sample.,1
116,What are parent nodes in Decision Trees?,Parent nodes are divided into sub-nodes which are called child nodes.,1
117,What is splitting in Decision Trees?,Splitting is the process of dividing a node into two or more sub-nodes.,1
118,What are decision nodes in Decision Trees?,Decision nodes are sub-nodes that split into further sub-nodes.,1
119,What are leaf nodes in Decision Trees?,Leaf nodes are nodes that do not split.,1
120,What is pruning in Decision Trees?,Pruning is the process of removing sub-nodes of a decision node.,1
121,What are branches in a Decision Tree?,Branches are sub-sections of the entire tree.,1
122,What is the ID3 algorithm?,The ID3 algorithm is used to generate a decision tree from a dataset.,1
123,How does the ID3 algorithm start?,The ID3 algorithm begins with the original set S as the root node.,1
124,How does the ID3 algorithm select attributes?,The algorithm iterates through every unused attribute of the set S and calculates the entropy H(S) or information gain IG(S) of that attribute.,1
125,How is the attribute selected in the ID3 algorithm?,The attribute with the smallest entropy (or largest information gain) value is selected.,1
126,What happens after selecting an attribute in the ID3 algorithm?,The set S is then split by the selected attribute to produce subsets of the data.,1
127,What does the ID3 algorithm do after splitting the set S?,The algorithm continues to recurse on each subset considering only attributes never selected before.,1
128,When does the ID3 algorithm stop?,The algorithm stops when a user-defined stopping condition is reached or perfect homogeneity is obtained.,1
129,What is entropy in the context of Decision Trees?,Entropy is a measure of randomness with higher entropy indicating more random data.,1
130,What is information gain in Decision Trees?,Information gain is the decrease in entropy.,1
131,How is the variable chosen in Decision Trees?,The variable that provides the maximum entropy gain is chosen.,1
132,What is the Gini Index?,The Gini Index is a measure of variance across all classes of the data.,1
133,What does the Gini Index measure?,The Gini Index measures the impurity of the data.,1
134,How does the Gini Index change with the depth of the tree?,The Gini Index decreases to zero with an increase in the depth of the tree.,1
135,What is the CART algorithm?,The CART algorithm is a non-parametric decision tree learning technique.,1
136,What does the CART algorithm produce?,CART produces either classification or regression trees depending on the dependent variable.,1
137,How are Decision Trees formed?,Decision trees are formed by a collection of rules based on variables in the modeling data set.,1
138,How are rules selected in Decision Trees?,Rules based on variable values are selected to get the best split to differentiate observations based on the dependent variable.,1
139,What procedure is used to grow a tree in Decision Trees?,The recursive binary splitting procedure is used to grow a tree.,1
140,What is the cost function in Decision Trees?,The cost function is used to find the most homogeneous branches.,1
141,What is the cost function for regression in Decision Trees?,The cost function for regression is the sum of the squared differences between the actual and predicted values.,1
142,What are Decision Trees?,Decision Trees are a type of classification algorithm.,1
143,How popular are Decision Trees?,Decision Trees are a popular tool widely used on Kaggle.,1
144,How easy are Decision Trees to use?,Decision Trees are easy to understand and use like a flow chart.,1
145,How do Decision Trees classify data?,Decision Trees use if-else rules to classify data.,1
146,What is the Root Node in a Decision Tree?,The best features of the dataset are placed at the root of the tree.,1
147,What is Splitting in Decision Trees?,The training set is split into subsets based on the best feature.,1
148,What is Recursion in Decision Trees?,Steps 1 and 2 are repeated on each subset until leaf nodes are found.,1
149,What is the pseudo code for Decision Trees?,The pseudo code for Decision Trees involves placing the best features at the root splitting the training set and repeating the process until leaf nodes are found.,1
150,What can Splitting Criteria be based on?,The splitting criteria can be based on different factors such as weight or height.,1
151,How is the Order of Criteria chosen?,The order of criteria is chosen based on the best sequence of criteria.,1
152,What dataset is used in the experiment?,The experiment uses the Fruits dataset to classify data using a Decision Tree classifier.,1
153,What is the objective of the experiment?,The objective of the experiment is to classify data using a Decision Tree classifier.,1
154,What does a Decision Tree with Depth 2 show?,A Decision Tree with a depth of 2 is shown illustrating the classification process.,1
155,What does a Decision Tree with Depth 3 show?,A Decision Tree with a depth of 3 is also shown illustrating the classification process with more complexity.,1
156,What is the summary of Decision Trees?,Decision Trees are a simple human-understandable solution that involves finding the best tree during training and using the criteria obtained during training to classify data during testing.,1
157,What are Decision Trees?,Decision Trees are a type of classification algorithm.,1
158,How popular are Decision Trees?,Decision Trees are a popular tool widely used on Kaggle.,1
159,How easy are Decision Trees to use?,Decision Trees are easy to understand and use like a flow chart.,1
160,How do Decision Trees classify data?,Decision Trees use if-else rules to classify data.,1
161,What is the Root Node in a Decision Tree?,The best features of the dataset are placed at the root of the tree.,1
162,What is Splitting in Decision Trees?,The training set is split into subsets based on the best feature.,1
163,What is Recursion in Decision Trees?,Steps 1 and 2 are repeated on each subset until leaf nodes are found.,1
164,What is the pseudo code for Decision Trees?,The pseudo code for Decision Trees involves placing the best features at the root splitting the training set and repeating the process until leaf nodes are found.,1
165,What can Splitting Criteria be based on?,The splitting criteria can be based on different factors such as weight or height.,1
166,How is the Order of Criteria chosen?,The order of criteria is chosen based on the best sequence of criteria.,1
167,What is Entropy?,Entropy is a measure of uncertainty with higher entropy indicating more random data.,1
168,What is Information Gain?,Information gain is the decrease in entropy.,1
169,How is Entropy calculated?,Entropy is calculated using the formula H(x) = -∑P(i) log2 P(i).,1
170,What are the applications of Decision Trees?,Decision Trees can be used for classification tasks and regression tasks.,1
171,What are Ensemble Methods?,Ensemble methods are a type of machine learning algorithm that combines multiple models to improve performance.,1
172,What are the types of Ensemble Methods?,There are several types of ensemble methods including bagging boosting and random forests.,1
173,What is Bagging?,Bagging or bootstrap aggregation is a technique for reducing the variance of an estimated prediction function.,1
174,What is Bootstrap in Bagging?,Bootstrap involves randomly drawing datasets with replacement from the training data each sample the same size as the original training set.,1
175,How does Bagging work for Classification?,For classification a committee of trees each cast a vote for the predicted class.,1
176,What are Random Forests?,Random forests are an ensemble classifier that consists of many decision trees and outputs the class that is the mode of the class’s output by individual trees.,1
177,Who proposed the term "random forest" and when?,The term "random forest" was first proposed by Tin Kam Ho of Bell Labs in 1995.,1
178,What method combines Breiman’s "bagging" idea and random feature selection?,The method combines Breiman’s "bagging" idea and the random selection of features.,1
179,What is CART?,CART or classification and regression trees is a greedy algorithm that uses recursive binary splitting to build decision trees.,1
180,What cost functions are used in CART?,The cost functions used in CART include mean squared error (MSE) for regression and Gini for classification.,1
181,What is a Random Forest Classifier?,A random forest classifier is an extension to bagging that uses de-correlated trees.,1
182,How does a Random Forest Classifier select features?,Each tree in a random forest selects a subset of features (words) and selects the best from the subset.,1
183,How are words sampled in Random Forest Classifier?,The words should not be uniformly sampled but rather automatically selected based on relevance.,1
184,What is Email Classification in the context of ensemble methods?,Email classification is a common application of ensemble methods where the goal is to classify emails as spam or ham.,1
185,What are the features used in Email Classification?,The features used in email classification are 2-million dimensional (one-hot) and each tree selects a subset of features (words) to select the best from the subset.,1
186,What are Support Vector Machines?,Support Vector Machines (SVMs) are a type of classification algorithm.,1
187,How popular are SVMs?,SVMs are a popular tool widely used in machine learning.,1
188,How easy are SVMs to use?,SVMs are easy to understand and use like a flow chart.,1
189,How do SVMs classify data?,SVMs use if-else rules to classify data.,1
190,What is a Linear Classifier?,A linear classifier is a type of classifier that uses a linear decision boundary.,1
191,What is the Decision Boundary in a Linear Classifier?,The decision boundary is a hyperplane that separates the classes.,1
192,Where does Class 1 lie in relation to the Decision Boundary?,Class 1 lies on the positive side of the decision boundary.,1
193,Where does Class 0 lie in relation to the Decision Boundary?,Class 0 lies on the negative side of the decision boundary.,1
194,What is the Margin in SVMs?,The margin is the width of the band around the decision boundary without any training samples.,1
195,Why is the Margin important in SVMs?,The margin is important because it reduces the chance of misclassifying future test samples.,1
196,What is Max-Margin Classification?,Max-margin classification is a type of classification that maximizes the margin.,1
197,Why is Max-Margin Classification important?,Max-margin classification is important because it generalizes better than other types of classification.,1
198,What are Support Vectors in SVMs?,Support vectors are samples at the boundary that support the margin.,1
199,What is the summary of SVMs?,SVMs are very good at generalization.,1
200,What type of Optimization do SVMs use?,SVMs use convex optimization which means there are no local minima.,1
201,What is Text Representation?,The document discusses the importance of representing text in a meaningful way beyond just using one-hot encoding.,2
202,What is Word2Vec?,Word2Vec is a technique for representing words as vectors in a high-dimensional space such that words with similar meanings are close together.,2
203,What is Continuous Bag of Words (CBOW)?,CBOW is a variant of Word2Vec that uses a window of words to predict the missing word.,2
204,What is Skip-Gram?,Skip-Gram is another variant of Word2Vec that uses a word to predict the surrounding words in a specified window.,2
205,How is Document Representation achieved?,The document discusses how to represent documents as vectors by summing or averaging the Word2Vec vectors of all words in the document.,2
206,What is GloVe?,GloVe is a technique for representing words as vectors based on how frequently words co-occur with one another.,2
207,What are Word Vector Analogies?,The document shows how word vector analogies can be used to find relationships between words such as "king" - "man" + "woman" = "queen".,2
208,What does the Word2Vec Pre-trained Model include?,The document mentions that Google's pre-trained Word2Vec model includes word vectors for a vocabulary of 3 million words and phrases.,2
209,What is Gensim?,Gensim is a Python package that serves as an interface to Word2Vec making it easy to load the Word2Vec model.,2
210,How is Vector Similarity calculated?,The document discusses how to calculate the similarity between two word vectors using cosine similarity.,2
211,How are Word2Vec vectors visualized?,The document shows how to visualize Word2Vec vectors in 2D using techniques such as PCA or t-SNE.,2
212,What is the Case Study about?,The document presents a case study comparing the performance of Bag of Words (BoW) and Word2Vec (W2V) on a text classification task.,2
213,What are the differences between BoW and W2V?,The document highlights the differences between BoW and W2V including the fact that W2V preserves the semantics or meaning of the word.,2
214,What does the Pipeline for text classification include?,The document shows a pipeline for text classification including preprocessing building a vocabulary training a model and evaluating its performance.,2
215,What is summarized in the document?,The document summarizes the key points including the importance of representing text in a meaningful way the techniques for doing so and the applications of Word2Vec.,2
216,What is Natural Language Processing (NLP)?,NLP is a field of computer science artificial intelligence and computational linguistics concerned with the interactions between computers and human (natural) languages.,2
217,What is the history of NLP?,NLP has a long history with early work in the 1950s and 1960s and significant advancements in the 1980s and 1990s.,2
218,What challenges does NLP face?,NLP faces several challenges including ambiguity scale and the need for robust techniques.,2
219,What are some NLP tasks?,NLP tasks include language modeling part-of-speech (POS) tagging named entity recognition and coreference resolution.,2
220,What is Language Modeling?,Language modeling is a technique for predicting the next word in a sequence of words given the context of the previous words.,2
221,What is POS Tagging?,POS tagging is the process of assigning a part of speech (such as noun verb adjective etc.) to each word in a sentence.,2
222,What is Named Entity Recognition?,Named entity recognition is the process of identifying and classifying named entities (such as people places organizations etc.) in text.,2
223,What is Coreference Resolution?,Coreference resolution is the process of identifying all phrases that refer to the same entity in a text.,2
224,What are Parsers used for in NLP?,Parsers are used to identify the grammatical structure of a sentence including the relationships between words and phrases.,2
225,What is Syntactic Structure?,Syntactic structure refers to the arrangement of words and phrases in a sentence and is used to convey meaning.,2
226,What is Semantic Role Labeling?,Semantic role labeling is the process of identifying the roles played by entities in a sentence (such as "agent" "patient" etc.).,2
227,What is Information Extraction?,Information extraction is the process of extracting specific information from text such as names dates and locations.,2
228,What is Text Classification?,Text classification is the process of assigning a category or label to a piece of text based on its content.,2
229,What is Sentiment Analysis?,Sentiment analysis is the process of determining the emotional tone or attitude of a piece of text.,2
230,What is Deep Learning in NLP?,Deep learning is a type of machine learning that uses neural networks to analyze and interpret data and has been applied to many NLP tasks.,2
231,What is Bag of Words?,Bag of Words is a method to extract features from text documents.,2
232,What is pre-reading material about Bag of Words?,The document provides a pre-reading material on Bag of Words.,2
233,How does Bag of Words work?,Bag of Words is a method that considers a sentence or document as a 'Bag' containing words.,2
234,What are the features extracted by Bag of Words?,The features extracted from the text documents can be used for training machine learning algorithms.,2
235,What is Vocabulary in the context of Bag of Words?,The BoW model creates a vocabulary of all the unique words occurring in all the documents in the training set.,2
236,How is the unique list of words created in Bag of Words?,The unique list of words from all the documents is created.,2
237,How is the frequency of words handled in Bag of Words?,The frequency of each word in the corresponding document is inserted.,2
238,What is the dimensionality issue in Bag of Words?,The BoW approach has a dimensionality issue as the total dimension is the vocabulary size.,2
239,What is the issue of overfitting in Bag of Words?,The model can easily overfit due to the high dimensionality.,2
240,What remedy is suggested for dimensionality issue in Bag of Words?,Dimensionality reduction techniques can be used to remedy the issue.,2
241,How does Bag of Words handle semantic relations?,The BoW representation doesn't consider the semantic relation between words.,2
242,What is the role of neighbor words in Bag of Words?,The neighbor words in a sentence should be useful for predicting the target word.,2
243,What is summarized in the conclusion of Bag of Words?,The document summarizes the Bag of Words approach and its issues.,2
244,What is the importance of semantic relation in text analysis?,The document highlights the importance of considering the semantic relation between words in text analysis.,2
245,What is Word2Vec?,Word2Vec is a machine learning model used to generate Word Embeddings.,2
246,What is the purpose of Word2Vec?,Word2Vec is used to convert text to vectors and find relations between words.,2
247,How does Word2Vec work?,Word2Vec takes a large sample of textual data and finds all unique words assigning an ID to each.,2
248,What does Word2Vec do with words in vector space?,Word2Vec clusters similar or related words together in vector space.,2
249,Who developed Word2Vec?,Word2Vec was developed by a team led by Mikolov et al. while at Google.,2
250,What are Word Embeddings?,Word Embeddings are vectors that represent words in a high-dimensional space.,2
251,What properties do Word Embeddings capture?,Word Embeddings capture the relations between words such as similarity and analogy.,2
252,Can you provide an example of Word Embeddings?,Paris Beijing Tokyo Delhi and New York are all clustered together in vector space.,2
253,What are relational operations in Word2Vec?,Word2Vec can perform relational operations such as finding the most similar words.,2
254,Can you give an example of a relational operation in Word2Vec?,King - Man + Women = Queen.,2
255,What properties of words can Word2Vec extract?,Word2Vec can extract and provide the most similar words how similar are two words and pick the odd word out of a group of words.,2
256,What does Word2Vec require for training?,Word2Vec requires a large enough corpus of data to be trained effectively.,2
257,How does the size of the corpus affect Word2Vec?,The size of the corpus affects the quality of the Word Embeddings.,2
258,What is Bag-of-Words?,Bag-of-Words is a method to extract features from text documents.,2
259,How is a text document represented in Bag-of-Words?,A text document is represented as a bag of its words disregarding grammar and even word order but keeping multiplicity.,2
260,What are features in Bag-of-Words?,The features extracted from the text documents can be used for training machine learning algorithms.,2
261,What are the example documents used in Bag-of-Words?,Four documents are used as an example: "It was the best of times" "It was the worst of times" "It was the age of wisdom" and "It was the age of foolishness".,2
262,How are unique words extracted in Bag-of-Words?,The unique words from all the documents are extracted excluding punctuation.,2
263,How are documents vectorized in Bag-of-Words?,The documents are converted into vectors using the presence or absence of words as a boolean value.,2
264,What is the method of vectorization in Bag-of-Words?,The simplest method is to mark the presence of words as a boolean value 0 for absent 1 for present.,2
265,Can you provide an example of vectorization in Bag-of-Words?,The vector for the first document "It was the best of times" is [1 1 1 1 1 1 0 0 0 0].,2
266,What is TF-IDF?,TF-IDF stands for term frequency-inverse document frequency a statistical measure used to evaluate how important a word is to a document in a collection or corpus.,2
267,What is Term Frequency (TF)?,TF is a scoring of the frequency of the word in the current document.,2
268,What is Inverse Document Frequency (IDF)?,IDF is a scoring of how rare the word is across documents.,2
269,What is the IDF formula?,IDF(t) = log(N / n(t)) where N is the total number of documents and n(t) is the number of documents with term t in it.,2
270,What is the TF-IDF Score formula?,TF-IDF Score = TF * IDF.,2
271,What is the importance of TF-IDF score?,The TF-IDF score increases proportionally to the number of times a word appears in the document but is offset by the frequency of the word in the corpus.,2
272,How does normalization work in TF-IDF?,TF-IDF is used to normalize the term frequencies to address the problem of common words having high raw counts.,2
273,What is Word2Vec?,Word2Vec is a method that uses a vector to represent a word.,2
274,What is the problem with calculating word in the network directly?,Calculating word in the network directly is difficult.,2
275,How does Word2Vec solve the problem?,Word2Vec uses a vector to represent a word and the vector comes to represent the meaning of a word.,2
276,How are words represented in Word2Vec?,A vector space with several hundred dimensions (say 1000) is used to represent words.,2
277,What is one-hot encoding?,One-hot encoding is a method of representing words as vectors but it has limitations.,2
278,What is distributed representation in Word2Vec?,Word2Vec uses a distributed representation of a word where each word is represented by a distribution of weights across all elements in the vector.,2
279,What is the Skip-Gram model?,The Skip-Gram model is one of the two important models in Word2Vec which tries to predict context words out to some window size for each center word.,2
280,What is the Continuous Bag-of-Words model?,The Continuous Bag-of-Words model is another important model in Word2Vec which uses a sliding window over the text to form the input layer.,2
281,What is the training objective of Word2Vec?,The training objective is to maximize the conditional probability of observing the actual output word given the input context words.,2
