question,answer
What is the difference between greedy decoding and beam search?,"Greedy decoding selects the most probable word at each step, while beam search considers multiple candidate sequences simultaneously, balancing exploration and exploitation to find a more optimal sequence."
what is Accuracy?,"When the output variable is categorical or discrete, accuracy is used. It is the percentage of correct predictions made by the model compared to the total number of predictions made."
How does k-NN handle missing data?,k-NN can handle missing data by imputing the missing values using the average of the 'k' nearest neighbors.
How do batch size and number of epochs affect training?,"Batch size affects the amount of data processed before updating weights, and the number of epochs defines how many times the entire dataset is used for training; both impact model convergence and performance."
What does Scikit-Learn provide for SVM?,Scikit-Learn provides tools for Support Vector Machines (SVM).
What is Spark SQL?,Distributed in-memory computation on massive scale Can use all data sources that Spark supports natively
What is a learning curve and how does it help in diagnosing overfitting and underfitting?,"A learning curve plots model performance against the size of the training dataset or training iterations, helping diagnose overfitting or underfitting by showing how performance improves with more data or training."
How does Backpropagation Through Time (BPTT) work in RNNs?,"BPTT is an extension of backpropagation used to train RNNs. It involves unrolling the RNN over time and applying backpropagation to calculate gradients for each time step, adjusting weights accordingly."
What happens if the data is not linearly separable when using a Perceptron?,"If the data is not linearly separable, a single-layer Perceptron will not be able to find a correct decision boundary, and the Perceptron Learning Rule will fail to converge to a solution. The Perceptron will continue adjusting weights without finding a satisfactory separation, resulting in poor classification performance."
What is feature extraction?,"Feature extraction involves transforming raw data into a set of features that can be used for modeling, often involving dimensionality reduction or feature transformation."
How is Q-Learning used in Finance?,Q-learning has been used in finance to learn optimal trading policies.
What are types of hierarchical clustering?,Agglomerative clustering and Divisive clustering.
What is curriculum reinforcement learning?,"Curriculum reinforcement learning involves training an agent on a sequence of increasingly difficult tasks, gradually building its abilities and improving overall performance on complex tasks."
What is recall in the context of model evaluation?,Recall is the ratio of true positive predictions to the total actual positives in the data.
What are the features used in Email Classification?,The features used in email classification are 2-million dimensional (one-hot) and each tree selects a subset of features (words) to select the best from the subset.
what does Parts-of-Speech tagging determines?,Parts-of-Speech tagging determines part-of-speech for each word dynamically as per meaning of the sentence. part-of-speech for each word dynamically as per sentence structure an all part-of-speech for a specific word given as input.
"What is the significance of ""exploration decay"" in reinforcement learning?","Exploration decay refers to the gradual reduction of exploration over time, allowing the agent to shift from exploring new actions to exploiting known actions that yield high rewards as it gains more experience."
What is the TF-IDF Score formula?,TF-IDF Score = TF * IDF.
What are support vectors in SVM?,Support vectors are the data points that are closest to the decision boundary and are used to define the hyperplane in SVM.
"If the MLP overfits the training data, how could you tweak these hyperparameters to try to solve the problem?","If the MLP overfits the training data, you can try reducing the number of hidden layers and reducing the number of neurons per hidden layer."
What is Linear Regression?,Linear Regression is a supervised learning algorithm that models the relationship between a dependent variable and one or more independent variables.
How does bag-of-words representation work in text analysis?,"Bag-of-words represents text by counting the frequency of words in a document, disregarding their order but capturing their occurrence."
What is Logistic Regression?,Logistic Regression is a supervised learning algorithm used for binary classification problems. It predicts the probability of an outcome that can only have two values.
What is distributed computing?,A distributed computing system is a system including several computational entities where each entity has its own local memory and all entities communicate by message passing over a network.
"What is overfitting in the context of ARIMA modeling, and how can it be avoided?","Overfitting occurs when an ARIMA model is too complex, with too many parameters, and fits the noise in the training data rather than the underlying pattern. This leads to poor generalization on new data. Overfitting can be avoided by using model selection criteria like AIC or BIC, cross-validation, and ensuring the model is as simple as possible while still capturing the essential patterns."
What is the difference between RNN and CNN?,"RNNs are designed for sequential data and have a mechanism for maintaining context across time steps, making them ideal for tasks involving sequences. In contrast, Convolutional Neural Networks (CNNs) are designed for spatial data, such as images, and use convolutional layers to detect local patterns. RNNs focus on temporal dependencies, while CNNs focus on spatial hierarchies."
What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the loss function by iteratively adjusting the weights in the direction of the negative gradient.
"What is AlexNet, and why is it significant?",AlexNet is a deep convolutional neural network that won the 2012 ImageNet competition. It demonstrated the effectiveness of deep learning for image classification and spurred interest in CNNs for computer vision.
How is the attention weight computed in Self Attention?,The attention weight is computed by taking the dot product of the Query and Key matrices and then applying a softmax function to the result. This produces a set of weights that represent the importance of each input element.
"What is a Siamese network, and how is it used?","A Siamese network consists of two or more identical subnetworks with shared weights. It is used in tasks like face verification, where it compares two inputs to determine their similarity."
What are some common challenges encountered during web scraping for NLP tasks?,"Dynamically generated content, changing website structure, and legal restrictions can pose challenges for web scraping."
How does an SVM work in simple terms?,An SVM works by finding a separating line (or hyperplane) between data of two classes. It takes the data as input and outputs a line that separates the classes if possible.
What is the function used to predict the next point in a series of 2D points?,The function used to predict the next point in a series of 2D points is ( y = f(x) = 3x ).
"In unsupervised learning, what is the purpose of anomaly detection?",Anomaly detection identifies instances or patterns in data that deviate significantly from the norm or expected behavior.
What is the cost function in Decision Trees?,The cost function is used to find the most homogeneous branches.
What is POS tagging?,"Part-of-Speech tagging, the process of assigning a part of speech to each word in a sentence."
Why is it important to modify loss functions for domain adaptation?,"Modifying loss functions helps to better align the distributions of source and target data, improving the model's performance on real-world data by adding additional terms to the loss function that address domain discrepancies."
What is feature engineering for time series data?,"Feature engineering for time series data involves creating features that capture temporal patterns, such as lagged values, rolling statistics, or time-based indicators."
What is backward elimination in stepwise regression?,"Backward elimination is a stepwise regression method where all predictors are initially included, and variables are removed one at a time based on their significance until only significant predictors remain."
What is the shape of the attention output in self-attention?,The shape of the attention output in self-attention is (T x dv) where T is the sequence length and dv is the dimensionality of the value vector.
"What is a Sparse Transformer, and how does it improve efficiency?","A Sparse Transformer reduces the computational complexity of self-attention by focusing only on relevant parts of the input sequence, making it more efficient for processing long sequences."
What are BERT's main innovations in NLP?,"BERT introduced bidirectional training of Transformers, enabling the model to consider context from both directions (left-to-right and right-to-left) when encoding a word, leading to state-of-the-art performance on various NLP tasks."
How are Word2Vec models trained?,"Large datasets are used to predict words based on their context, allowing the model to learn word representations."
What are the Assumptions in Machine Learning,Machine Learning assumes that the training set and testing set come from the same distribution and that some assumptions or bias are needed to make predictions
What are the ethical considerations in AI?,"Ethical issues include bias, fairness, accountability, privacy, and societal impact."
"What is a Multilayer Perceptron (MLP), and how does it differ from a single-layer perceptron?","An MLP is a type of neural network with multiple layers, including input, hidden, and output layers."
How does PEFT improve fine-tuning efficiency in resource-constrained environments?,"PEFT reduces the number of trainable parameters, allowing large models to be fine-tuned on limited hardware resources, such as GPUs with smaller memory capacity, without significant performance loss."
What is accuracy?,Accuracy is the frraction of the total sample that is correctly identified.
What are the different methods for representing text in Natural Language Processing (NLP)?,"Text can be represented using bag-of-words, TF-IDF, word embeddings (like word2vec or GloVe), or through more advanced methods like BERT and GPT models."
What is collaborative filtering in recommendation systems?,Collaborative filtering predicts a user's interest in items based on the preferences of similar users. It leverages the idea that users who agreed in the past will likely agree in the future.
"What is a dense attention mechanism in transformers, and how does it affect computational complexity?","Dense attention mechanisms in transformers calculate attention scores between all pairs of tokens in a sequence, resulting in high computational complexity, especially for long sequences, but also allowing the model to capture detailed relationships."
How does the Eigen face approach relate to face detection and recognition?,"By analyzing key facial features captured in Eigen faces, systems can detect and recognize faces in images or videos."
What is early stopping?,A regularization technique used to prevent overfitting by stopping training when the model's performance on a validation set starts to deteriorate.
What is the idea behind SNE and t-SNE?,"SNE and t-SNE use probabilities instead of distances to represent the likelihood of points being neighbors, optimizing these probabilities to be similar in low dimensions."
How does cross-validation help in model selection?,"Cross-validation helps in model selection by providing an estimate of how different models perform on unseen data, allowing for the comparison of model performance and selection of the best model."
"What is the Orthogonality Loss, and why was it proposed?",Orthogonality Loss was proposed to enhance the recognition ability of deep face features by punishing the mean value and second moment of the weight matrix of generated feature vectors. It addresses the limitation of traditional softmax loss in distinguishing between classes in high-dimensional feature spaces.
What types of N-Grams can be used as features?,Unigrams bigrams trigrams etc. can be used as features.
What is a validation set in the context of cross-validation?,"A validation set is a subset of the data used to evaluate the model's performance during training, helping to tune hyperparameters and assess model generalization."
What is the role of cross-attention in transformer models?,"Cross-attention is used in transformer decoders to focus on specific parts of the encoder's output, enabling better context integration when generating sequences."
What is the role of dimensionality reduction in unsupervised learning?,"Dimensionality reduction techniques, such as PCA or t-SNE, reduce the number of features in the data, making it easier to visualize and analyze while retaining the most important information."
What is beam search in NLP?,"Beam search is a search algorithm used in sequence generation tasks, where it keeps track of the top-k sequences at each step and expands them to find the most probable sequence."
"What is an autoencoder, and how does it work?","An autoencoder is a neural network that learns to compress (encode) input data into a lower-dimensional representation and then reconstruct (decode) it back to the original form, typically used for feature learning or dimensionality reduction."
What should you consider when engineering features for a model?,"You should consider transforming data, using PCA (Principal Component Analysis), creating smaller categories for categorical data, deriving additional attributes, and experimenting with hyperparameters."
What is regularization in the context of regression models?,"Regularization adds a penalty term to the loss function in regression models to control the complexity of the model, helping to prevent overfitting and improve generalization."
What is a policy in reinforcement learning?,"A policy in reinforcement learning defines the agent's strategy for choosing actions in various states, typically represented as a probability distribution over actions."
How does a Decision Tree work?,"A Decision Tree works by splitting the dataset based on the most important variables using criteria like entropy, information gain, or Gini index. It continues to split until a stopping condition is met or perfect homogeneity is achieved."
What is a leaf node in a Decision Tree?,A leaf node is the final node in a Decision Tree that contains the output label.
What are some common challenges in reinforcement learning?,Challenges include the exploration-exploitation trade
What is transfer learning?,"Transfer learning involves taking the knowledge gained from a pre-trained model on one task and applying it to a different, but related task. This approach allows for leveraging pre-existing patterns learned by the model, making it easier and faster to train on new tasks with less data."
What is Bag of Words?,A simple representation of text data where each document is represented as a bag (or a set) of its word occurrences.
How can Principal Component Analysis (PCA) aid in data visualization?,"PCA reduces the dimensionality of data while preserving most of its variance, allowing for visualization of high-dimensional data in a lower-dimensional space."
what is Machine Translation?,This helps in translating a given piece of text from one language to another.
What are the common types of ensemble methods?,"Common ensemble methods include Bagging (e.g., Random Forest), Boosting (e.g., AdaBoost, Gradient Boosting), and Stacking, each with different approaches to combining models."
How do CNNs learn features from images?,CNNs apply convolutional filters to detect features at various resolutions and complexities.
What is a Sparse Autoencoder?,"A Sparse Autoencoder is a variant of the standard Autoencoder where sparsity is enforced on the latent representation. This means that only a small number of neurons in the bottleneck layer are activated for any given input, encouraging the network to learn more distinct and meaningful features."
How does TF-IDF work in information retrieval?,"TF-IDF (Term Frequency-Inverse Document Frequency) is a numerical statistic that reflects the importance of a word in a document relative to a corpus, helping to identify relevant keywords."
What is the Root Node in a Decision Tree?,The best features of the dataset are placed at the root of the tree.
"What do stemming and lemmatization return for the word ""comedy""?","Stemming will return ""comedi"" and lemmatizaton will return ""comedy""."
What is overfitting in Decision Trees?,"Overfitting occurs when the Decision Tree model becomes too complex, capturing noise instead of the underlying data distribution."
What is the difference between a one-hot encoding and word embeddings?,"One-hot encoding represents each word as a binary vector with a single high value, while word embeddings represent words as dense vectors in a continuous vector space, capturing semantic relationships."
What is quantization?,Quantization is a technique used to reduce the precision of the weights and activations of a neural network.
What is Information Gain?,Information gain is the decrease in entropy.
What is knowledge distillation in model compression?,"Knowledge distillation involves training a smaller model (student) to replicate the behavior of a larger, pre-trained model (teacher). The student model learns to mimic the teacher's outputs, achieving comparable performance with fewer parameters."
How can Google Vision API be set up for use?,"To set up Google Vision API, you need to create a GCP project, enable billing, enable the API, create a service account key, set the environment variable for the application credentials, install the client library, and run the appropriate code."
How can you detect overfitting?,"Overfitting can be detected by a significant gap between training accuracy and validation accuracy, where the model performs well on training data but poorly on validation data."
How does the training set size affect bias and variance?,Increasing the training set size generally reduces variance (overfitting) but may not affect bias significantly. A larger training set provides more information for the model to learn.
What is the significance of the cross-validation error?,"The cross-validation error is a measure of model performance averaged across all folds, providing an estimate of how well the model is expected to perform on unseen data."
What is the difference between population and sample in statistics?,Population: The entire set of possible observations of a random variable. It can be finite or infinite. Sample: A subset of the population used to make inferences about the population. It is always finite.
What is bag-of-words approach?,A sentence or a document is considered as a Bag containing words. It takes into account the words and their frequency of occurrence in the sentence or the document disregarding semantic relationship in the sentences. It creates a vocabulary of all the unique words occurring in all the documents in the training set. This is called bag-of-words approach.
What is the role of token type embeddings in BERT?,"Token type embeddings in BERT differentiate between tokens from different segments (e.g., sentence A and sentence B) within a single input, enabling the model to handle tasks like next sentence prediction."
What is overfitting?,"When a model learns the training data too well, including noise and outliers, leading to poor generalization to new data."
What are generative models in machine learning?,"Generative models learn to create new data samples similar to training data, like GANs and VAEs."
Can ARIMA be used for non-stationary data?,"Yes, ARIMA can be used for non-stationary data by applying differencing to the data (the I component of ARIMA). The differencing process transforms the non-stationary data into a stationary series, which can then be modeled using the AR and MA components."
What is a Markov chain?,"A stochastic process that transitions from one state to another on a state space, where the probability of each state depends only on the previous state."
How do you get a specific value from a DataFrame?,"Use df.at[row_index, 'column_name'] or df.iat[row_index, col_index] to access a specific value."
What is a sliding window?,"A technique where a fixed-size window moves across the data, often used in time series analysis to capture temporal patterns."
How does stride affect the convolution process in CNNs?,Stride determines the number of pixels the filter moves during convolution affecting the size of the output feature map.
What is Part of Speech (POS) tagging?,"POS tagging assigns a part of speech to each word in a given sentence, helping in understanding the grammatical structure of the sentence."
What is feature engineering for classification problems?,Feature engineering for classification problems includes creating features that enhance the model's ability to distinguish between different classes or categories.
What is underfitting in machine learning?,"Underfitting happens when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and test data."
What is fine-tuning in the context of transformers?,"Fine-tuning involves taking a pre-trained transformer model and adapting it to a specific task by continuing training on a smaller, task-specific dataset, leveraging the knowledge gained during pre-training."
How does the pinhole camera model relate to computer vision?,"The pinhole camera model is a mathematical representation used in computer vision to understand how a camera projects a 3D scene onto a 2D image, which helps in tasks like recovering world geometry and calibrating cameras."
What is batch normalization in deep learning?,Batch normalization normalizes inputs within each layer to stabilize and speed up training.
What are some effective ways to visualize the results of dimensionality reduction techniques like PCA?,"Scatter plots, heatmaps, and interactive visualization tools can help explore the relationships between data points in the reduced dimensional space."
What is the difference between model-based and model-free reinforcement learning?,"Model-based reinforcement learning involves building a model of the environment and planning actions based on it, while model-free reinforcement learning learns directly from interactions with the environment without explicitly modeling it."
What is one of the major limitations of GANs?,"One major limitation of GANs is the difficulty in evaluating the quality of generated outputs, as well as the potential ethical concerns related to generating realistic fake data."
How does the self-attention mechanism work in transformers?,"The self-attention mechanism allows each element in a sequence to attend to all other elements, enabling the model to capture dependencies regardless of their distance in the sequence."
What is scikit-learn in machine learning?,"Scikit-learn is a Python library for machine learning, offering tools for data preprocessing, model building, evaluation, and more."
How do you set an index column in a DataFrame?,"Use df.set_index('column_name', inplace=True) to set a column as the index."
How do loss functions contribute to training neural networks?,"Loss functions quantify the difference between predicted and actual values, guiding the neural network's learning process during optimization."
What is the role of model selection in the bias-variance tradeoff?,"Model selection involves choosing a model that balances bias and variance based on performance metrics, cross-validation results, and the complexity of the model."
`Why is it important to consider both precision and recall in model evaluation?,Considering both precision and recall is important because they provide insights into the models performance in terms of both the relevance of the results (precision) and the ability to capture all relevant instances (recall).
What is the impact of feature selection on bias and variance?,"Feature selection can help reduce variance by removing irrelevant features that may contribute to overfitting, and it can also impact bias depending on which features are selected."
what is Natural Language Understanding (NLU)?,"Here, the transcribed text from stage one is further analysed through AI techniques within the natural language understanding system. Certain NLP tasks such as Named Entity Recognition, Text Classification, Language modelling, etc. come into play here."
What is the role of ensemble methods in handling imbalanced data?,"Ensemble methods can help handle imbalanced data by combining predictions from multiple models that may better capture minority classes, improving overall performance and robustness."
What is the Query Key and Value in Self Attention?,The Query Key and Value are three matrices that are used to compute the attention weights. The Query matrix represents the input data the Key matrix represents the context and the Value matrix represents the output.
How is the value of 'k' chosen in k-NN?,The value of 'k' is usually chosen based on cross-validation to optimize classification accuracy.
What is stratified k-fold cross-validation?,"Stratified k-fold cross-validation ensures that each fold is representative of the overall distribution of the target variable, preserving the proportion of classes in each fold."
"What does the AR term in ARIMA stand for, and how does it work?",The AR (AutoRegressive) term in ARIMA refers to a model where the current value of the time series is expressed as a linear combination of its previous values (lags). The order of the AR term (denoted as p) indicates the number of lagged values used in the model.
How do you prevent overfitting in neural networks?,"Overfitting can be prevented using techniques such as regularization (L1, L2), dropout, early stopping, and using more training data."
What is a random forest in machine learning?,A random forest combines multiple decision trees to improve accuracy and robustness.
How is Entropy calculated?,Entropy is calculated using the formula H(x) = -P(i) log2 P(i).
What is semi-supervised learning?,Semi-supervised learning uses a small amount of labeled data with a large amount of unlabeled data.
What is Euclidean distance?,"A measure of the straight-line distance between two points in a Euclidean space, often used in clustering."
"What is unsupervised learning, and what are some common algorithms?","Unsupervised learning discovers patterns in unlabeled data, and common algorithms include K-means clustering and dimensionality reduction techniques like PCA."
Why might models trained in one environment fail in another?,"Models may fail in new environments due to domain gaps, where the data in the new environment differs significantly from the training data."
What is the conclusion about Accuracy Precision and Recall?,Accuracy precision and recall are important metrics in evaluating the performance of a machine learning model and the choice of metric depends on the specific problem and dataset.
What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model by comparing predicted and actual values.
What is accuracy in machine learning?,The proportion of correct predictions made by the model out of the total predictions.
How do you create a DataFrame?,"Use pd.DataFrame(data) where data can be a dictionary, list, or other structures."
What does True Negative (TN) mean?,True Negative refers to the cases where the model correctly predicted the negative class.
What is the concept of 'mean absolute error' (MAE)?,"MAE measures the average magnitude of errors in predictions without considering their direction, providing a straightforward evaluation of model performance."
How do you drop rows with missing values?,Use df.dropna() to remove rows with missing values.
What is k-means clustering?,"An unsupervised learning algorithm that partitions data into k clusters, where each data point belongs to the cluster with the nearest mean."
What is SMOTE?,"Synthetic Minority Over-sampling Technique, a method for addressing imbalanced data by creating synthetic samples for the minority class."
What is an experience replay?,A technique in reinforcement learning where past experiences are stored and reused to improve learning efficiency.
Explain the concept of a kernel in convolutional neural networks (CNNs).,"A kernel (or filter) is a small matrix that convolves over the input data to extract features such as edges, textures, or patterns in images."
What is a self-supervised learning objective in transformer models?,"Self-supervised learning in transformers involves training the model on a task where labels are derived from the input data itself, such as predicting masked tokens or the next sentence, enabling the model to learn representations without explicit labeled data."
What are some challenges associated with training CNNs?,"Challenges in training CNNs include dealing with large computational costs, preventing overfitting (especially on small datasets), managing large amounts of data, tuning hyperparameters like learning rate and batch size, and handling the vanishing or exploding gradient problem in very deep networks."
